2024-02-17 08:10:14.894 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-6832 [32m                [0;39m [40233366-66ac-4a5a-80c2-a97de7b5746c] Receive server push request, request = NotifySubscriberRequest, requestId = 44
2024-02-17 08:10:14.915 INFO  com.alibaba.nacos.client.naming                   :247  nacos-grpc-client-executor-127.0.0.1-6832 [32m                [0;39m modified ips(1) service: SEATA_GROUP@@seata-server@@default -> [{"instanceId":"192.168.188.1#8091#default#SEATA_GROUP@@seata-server","ip":"192.168.188.1","port":8091,"weight":1.0,"healthy":false,"enabled":true,"ephemeral":true,"clusterName":"default","serviceName":"SEATA_GROUP@@seata-server","metadata":{},"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000,"instanceIdGenerator":"simple","ipDeleteTimeout":30000}]
2024-02-17 08:10:14.922 INFO  com.alibaba.nacos.client.naming                   :169  nacos-grpc-client-executor-127.0.0.1-6832 [32m                [0;39m current ips:(1) service: SEATA_GROUP@@seata-server@@default -> [{"instanceId":"192.168.188.1#8091#default#SEATA_GROUP@@seata-server","ip":"192.168.188.1","port":8091,"weight":1.0,"healthy":false,"enabled":true,"ephemeral":true,"clusterName":"default","serviceName":"SEATA_GROUP@@seata-server","metadata":{},"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000,"instanceIdGenerator":"simple","ipDeleteTimeout":30000}]
2024-02-17 08:10:14.641 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-6841 [32m                [0;39m [16a6216f-ea3a-4922-bc3c-58275ac3ea7e] Receive server push request, request = ClientDetectionRequest, requestId = 49
2024-02-17 08:10:14.931 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-6841 [32m                [0;39m [16a6216f-ea3a-4922-bc3c-58275ac3ea7e] Ack server push request, request = ClientDetectionRequest, requestId = 49
2024-02-17 08:10:14.880 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-6847 [32m                [0;39m [0594c61a-a2d3-4e28-9fba-a816994ce849_config-0] Receive server push request, request = ClientDetectionRequest, requestId = 47
2024-02-17 08:10:15.152 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-6847 [32m                [0;39m [0594c61a-a2d3-4e28-9fba-a816994ce849_config-0] Ack server push request, request = ClientDetectionRequest, requestId = 47
2024-02-17 08:10:15.154 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:438  NettyClientSelector_RMROLE_1_1 [32m                [0;39m channel inactive: [id: 0x10704de3, L:/192.168.188.1:51302 ! R:/192.168.188.1:8091]
2024-02-17 08:10:15.155 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :133  NettyClientSelector_RMROLE_1_1 [32m                [0;39m return to pool, rm channel:[id: 0x10704de3, L:/192.168.188.1:51302 ! R:/192.168.188.1:8091]
2024-02-17 08:10:15.155 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :133  NettyClientSelector_RMROLE_1_1 [32m                [0;39m channel valid false,channel:[id: 0x10704de3, L:/192.168.188.1:51302 ! R:/192.168.188.1:8091]
2024-02-17 08:10:15.156 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_RMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0x10704de3, L:/192.168.188.1:51302 ! R:/192.168.188.1:8091]
2024-02-17 08:10:15.156 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x10704de3, L:/192.168.188.1:51302 ! R:/192.168.188.1:8091]) will closed
2024-02-17 08:10:15.156 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x10704de3, L:/192.168.188.1:51302 ! R:/192.168.188.1:8091]) will closed
2024-02-17 08:10:15.440 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:438  NettyClientSelector_TMROLE_1_1 [32m                [0;39m channel inactive: [id: 0x1c9a88c0, L:/192.168.188.1:51287 ! R:/192.168.188.1:8091]
2024-02-17 08:10:15.441 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :133  NettyClientSelector_TMROLE_1_1 [32m                [0;39m return to pool, rm channel:[id: 0x1c9a88c0, L:/192.168.188.1:51287 ! R:/192.168.188.1:8091]
2024-02-17 08:10:15.441 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :133  NettyClientSelector_TMROLE_1_1 [32m                [0;39m channel valid false,channel:[id: 0x1c9a88c0, L:/192.168.188.1:51287 ! R:/192.168.188.1:8091]
2024-02-17 08:10:15.441 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_TMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0x1c9a88c0, L:/192.168.188.1:51287 ! R:/192.168.188.1:8091]
2024-02-17 08:10:15.441 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x1c9a88c0, L:/192.168.188.1:51287 ! R:/192.168.188.1:8091]) will closed
2024-02-17 08:10:15.441 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x1c9a88c0, L:/192.168.188.1:51287 ! R:/192.168.188.1:8091]) will closed
2024-02-17 08:10:15.885 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-6832 [32m                [0;39m [40233366-66ac-4a5a-80c2-a97de7b5746c] Ack server push request, request = NotifySubscriberRequest, requestId = 44
2024-02-17 08:10:18.775 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-6833 [32m                [0;39m [40233366-66ac-4a5a-80c2-a97de7b5746c] Receive server push request, request = NotifySubscriberRequest, requestId = 51
2024-02-17 08:10:18.777 INFO  com.alibaba.nacos.client.naming                   :247  nacos-grpc-client-executor-127.0.0.1-6833 [32m                [0;39m modified ips(1) service: SEATA_GROUP@@seata-server@@default -> [{"instanceId":"192.168.188.1#8091#default#SEATA_GROUP@@seata-server","ip":"192.168.188.1","port":8091,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"default","serviceName":"SEATA_GROUP@@seata-server","metadata":{},"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000,"instanceIdGenerator":"simple","ipDeleteTimeout":30000}]
2024-02-17 08:10:18.779 INFO  com.alibaba.nacos.client.naming                   :169  nacos-grpc-client-executor-127.0.0.1-6833 [32m                [0;39m current ips:(1) service: SEATA_GROUP@@seata-server@@default -> [{"instanceId":"192.168.188.1#8091#default#SEATA_GROUP@@seata-server","ip":"192.168.188.1","port":8091,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"default","serviceName":"SEATA_GROUP@@seata-server","metadata":{},"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000,"instanceIdGenerator":"simple","ipDeleteTimeout":30000}]
2024-02-17 08:10:18.949 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-6833 [32m                [0;39m [40233366-66ac-4a5a-80c2-a97de7b5746c] Ack server push request, request = NotifySubscriberRequest, requestId = 51
2024-02-17 08:10:22.770 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :108  timeoutChecker_1_1 [32m                [0;39m will connect to 192.168.188.1:8091
2024-02-17 08:10:22.782 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :56   timeoutChecker_1_1 [32m                [0;39m NettyPool create channel to transactionRole:TMROLE,address:192.168.188.1:8091,msg:< RegisterTMRequest{applicationId='business', transactionServiceGroup='train-group'} >
2024-02-17 08:10:22.833 INFO  io.seata.core.rpc.netty.TmNettyRemotingClient     :224  timeoutChecker_1_1 [32m                [0;39m register TM success. client version:1.6.1, server version:1.6.1,channel:[id: 0x1c46e7ca, L:/192.168.188.1:54695 - R:/192.168.188.1:8091]
2024-02-17 08:10:22.833 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :81   timeoutChecker_1_1 [32m                [0;39m register success, cost 4 ms, version:1.6.1,role:TMROLE,channel:[id: 0x1c46e7ca, L:/192.168.188.1:54695 - R:/192.168.188.1:8091]
2024-02-17 08:10:23.296 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :108  timeoutChecker_2_1 [32m                [0;39m will connect to 192.168.188.1:8091
2024-02-17 08:10:23.330 INFO  io.seata.core.rpc.netty.RmNettyRemotingClient     :276  timeoutChecker_2_1 [32m                [0;39m RM will register :jdbc:mysql://127.0.0.1:3306/train_business
2024-02-17 08:10:23.332 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :56   timeoutChecker_2_1 [32m                [0;39m NettyPool create channel to transactionRole:RMROLE,address:192.168.188.1:8091,msg:< RegisterRMRequest{resourceIds='jdbc:mysql://127.0.0.1:3306/train_business', applicationId='business', transactionServiceGroup='train-group'} >
2024-02-17 08:10:23.595 INFO  io.seata.core.rpc.netty.RmNettyRemotingClient     :177  timeoutChecker_2_1 [32m                [0;39m register RM success. client version:1.6.1, server version:1.6.1,channel:[id: 0xf2c6539d, L:/192.168.188.1:54698 - R:/192.168.188.1:8091]
2024-02-17 08:10:23.707 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :81   timeoutChecker_2_1 [32m                [0;39m register success, cost 369 ms, version:1.6.1,role:RMROLE,channel:[id: 0xf2c6539d, L:/192.168.188.1:54698 - R:/192.168.188.1:8091]
2024-02-17 08:10:23.933 WARN  com.zaxxer.hikari.pool.HikariPool                 :804  HikariPool-1 housekeeper [32m                [0;39m HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9h33m34s442ms901µs100ns).
2024-02-17 11:14:38.918 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:438  NettyClientSelector_TMROLE_1_1 [32m                [0;39m channel inactive: [id: 0x1c46e7ca, L:/192.168.188.1:54695 ! R:/192.168.188.1:8091]
2024-02-17 11:14:38.923 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :133  NettyClientSelector_TMROLE_1_1 [32m                [0;39m return to pool, rm channel:[id: 0x1c46e7ca, L:/192.168.188.1:54695 ! R:/192.168.188.1:8091]
